Date;Time;UTC;Latitude;Longitude;Altitude;Speed;Heading;#Sat;NR-ARFCN;SSRef;Band;PCI;SSB Idx;SSB Idx Mod8;SSB-RSSI;SSS-SINR;SSS-RSRP;SSS-RSRQ;SSS-RePower;MCC;MNC;LAC;RNC-CellID(H);RNC-CellID(D);ToA(PPS);ToA(CIR);MIB_Sfn;MIB_ScsCommon30or120kHz;MIB_SsbSubcarrierOffset;MIB_DmrsTypeAPositionPos3;MIB_PdcchConfigSib1;MIB_CellNotBarred;MIB_IntraFreqReselectionNotAllowed;DM_RS-SINR;DM_RS-RSRP;DM_RS-RSRQ;DM_RS-RePower;PBCH-SINR;PBCH-RSRP;PBCH-RSRQ;PBCH-RePower;PSS-SINR;PSS-RSRP;PSS-RSRQ;PSS-RePower;SSS_PBCH-SINR;SSS_PBCH-RSRP;SSS_PBCH-RSRQ;SSS_PBCH-RePower;SS_PBCH-SINR;SS_PBCH-RSRP;SS_PBCH-RSRQ;SS_PBCH-RePower;DeviceID
0,611597222;12:35:05.151;1660469703;55.469.870;10.329.676;22.32;00.04;139.76;7;630048;3450720000;78;532;0;0;-80.0;02.01;-97.2;-12.3;-95.1;;;;;;;856.361.400;984;scs30or120;10;pos2;194;notBarred;allowed;03.07;-95.3;-12.3;-93.7;03.06;-95.3;-12.4;-93.7;02.02;-97.1;-12.3;-95.0;03.04;-95.6;-12.3;-93.9;03.03;-95.8;-12.3;-94.1;1
0,611597222;12:35:09.709;1660469709;55.469.873;10.329.676;0,88125;00.00;139.76;7;630048;3450720000;78;532;0;0;-76.8;01.09;-96.7;-12.5;-94.5;238;1;;34-76C002;52-7782402;;856.358.040;984;scs30or120;10;pos2;194;notBarred;allowed;03.08;-95.5;-12.1;-94.0;04.01;-95.6;-12.3;-94.2;02.03;-97.3;-12.4;-95.3;03.07;-95.8;-12.3;-94.2;03.05;-96.0;-12.3;-94.4;1
0,611597222;12:35:09.709;1660469709;55.469.873;10.329.676;0,88125;00.00;139.76;7;630048;3450720000;78;533;0;0;-76.8;-10.2;-105.1;-21.0;-94.5;;;;;;;856.376.400;416;scs30or120;10;pos2;194;notBarred;allowed;-11.9;-106.2;-22.9;-94.0;-12.4;-106.9;-23.5;-94.2;-10.8;-106.4;-21.6;-95.3;-11.9;-106.4;-22.9;-94.2;-11.7;-106.4;-22.7;-94.4;1
0,611597222;12:35:10.850;1660469709;55.469.873;10.329.676;0,88125;00.00;139.76;7;630048;3450720000;78;532;0;0;-66.3;09.06;-92.5;-10.8;-92.1;238;1;;34-76C002;52-7782402;;856.364.418;984;scs30or120;10;pos2;194;notBarred;allowed;10.04;-92.1;-11.3;-91.7;10.03;-92.0;-11.2;-91.6;09.07;-92.6;-10.8;-92.2;09.07;-92.1;-11.1;-91.7;10.02;-92.2;-11.1;-91.8;1
0,611597222;12:35:10.870;1660469709;55.469.873;10.329.676;0,88125;00.00;139.76;7;630048;3450720000;78;532;0;0;-66.3;08.00;-92.9;-10.8;-92.1;238;1;;34-76C002;52-7782402;;856.364.418;984;scs30or120;10;pos2;194;notBarred;allowed;09.08;-92.2;-11.3;-91.7;09.05;-92.0;-11.2;-91.6;08.04;-92.8;-10.8;-92.2;;;;;09.01;-92.3;-11.1;-91.8;1
0,611597222;12:35:10.890;1660469709;55.469.873;10.329.676;0,88125;00.00;139.76;7;630048;3450720000;78;532;0;0;-64.7;09.01;-93.6;-11.8;-95.0;238;1;;34-76C002;52-7782402;;856.365.367;984;scs30or120;10;pos2;194;notBarred;allowed;10.06;-92.7;-11.9;-94.1;10.05;-92.5;-11.8;-94.0;10.02;-93.5;-11.7;-95.2;05.05;-95.3;-11.8;-94.2;10.03;-92.8;-11.8;-94.3;1
0,611597222;12:35:10.910;1660469709;55.469.873;10.329.676;0,88125;00.00;139.76;7;630048;3450720000;78;532;0;0;-64.7;07.03;-94.6;-11.8;-95.0;238;1;;34-76C002;52-7782402;;856.365.367;984;scs30or120;10;pos2;194;notBarred;allowed;08.03;-93.6;-11.9;-94.1;08.03;-93.2;-11.8;-94.0;07.08;-94.6;-11.7;-95.2;;;;;08.01;-93.7;-11.8;-94.3;1
0,611597222;12:35:10.970;1660469709;55.469.873;10.329.676;0,88125;00.00;139.76;7;630048;3450720000;78;532;0;0;-64.7;03.00;-98.7;-11.8;-95.0;238;1;;34-76C002;52-7782402;;856.365.367;984;scs30or120;10;pos2;194;notBarred;allowed;05.05;-96.2;-11.9;-94.1;06.00;-96.6;-11.8;-94.0;03.04;-98.3;-11.7;-95.2;;;;;05.01;-97.0;-11.8;-94.3;1
0,611597222;12:35:10.990;1660469709;55.469.873;10.329.676;0,88125;00.00;139.76;7;630048;3450720000;78;532;0;0;-64.7;01.05;-99.4;-11.8;-95.0;238;1;;34-76C002;52-7782402;;856.365.367;984;scs30or120;10;pos2;194;notBarred;allowed;04.08;-97.0;-11.9;-94.1;04.08;-97.3;-11.8;-94.0;02.02;-99.7;-11.7;-95.2;;;;;04.00;-97.8;-11.8;-94.3;1
0,611597222;12:35:11.010;1660469709;55.469.873;10.329.676;0,88125;00.00;139.76;7;630048;3450720000;78;532;0;0;-64.7;01.09;-100.0;-11.8;-95.0;238;1;;34-76C002;52-7782402;;856.365.367;984;scs30or120;10;pos2;194;notBarred;allowed;03.08;-97.7;-11.9;-94.1;04.03;-97.7;-11.8;-94.0;01.04;-100.5;-11.7;-95.2;;;;;03.05;-98.3;-11.8;-94.3;1
